Iteration,Discriminator Loss,Generator Loss
0,0.941202,0.696092
10,0.433030,1.121839
20,0.088577,2.568074
30,0.040312,4.591168
40,0.226929,4.535491
50,0.401894,3.054046
60,0.477037,2.588984
70,0.539207,1.975684
80,0.731220,2.040109
90,0.732012,1.926224
100,1.505273,1.503594
110,1.088389,1.621734
120,1.152253,1.846255
130,1.446408,2.217482
140,5.090795,2.673756
150,12.247469,0.019897
160,1.763846,0.703326
170,1.995541,4.185902
180,2.771737,0.036574
190,12.688780,0.273665
200,16.462822,0.003677
210,5.448474,0.000001
220,6.599259,7.696113
230,6.607593,0.000003
240,14.001870,0.094953
250,11.579691,0.000001
260,2.984544,6.893711
270,15.995880,1.936988
280,3.612350,0.000013
290,16.189976,1.982231
300,7.526565,0.000000
310,14.802277,2.037712
320,9.694256,0.000001
330,5.555936,12.187081
340,3.471598,10.530901
350,16.845276,0.402530
360,12.163494,4.223044
370,1.924179,0.583193
380,11.665827,6.645394
390,7.171408,0.000001
400,3.115560,0.000001
410,3.210496,0.000002
420,3.730947,0.000021
430,1.799950,0.003154
440,4.329845,0.067572
450,3.294120,10.624105
460,1.380507,0.020107
470,0.800890,8.953743
480,4.985402,11.063582
490,0.596272,1.396715
500,7.637104,0.203429
510,2.295104,7.787770
520,1.909081,6.362549
530,3.484085,4.206833
540,3.653170,3.572530
550,3.495715,3.201755
560,3.861717,3.069309
570,2.377425,4.399176
580,0.833725,2.401858
590,2.304260,5.094384
600,2.733564,3.875425
610,2.932511,4.153063
620,3.086720,3.998264
630,3.104777,4.100200
640,2.781744,3.815582
650,2.715844,3.695633
660,3.406916,2.798565
670,3.105337,2.771337
680,2.472996,3.215534
690,1.359680,3.093169
700,1.235000,0.888813
710,1.542805,0.516958
720,1.809969,0.550355
730,2.507677,0.464427
740,2.727793,0.914827
750,2.607548,0.346649
760,2.107603,0.267322
770,1.239231,4.162347
780,2.068767,6.121089
790,1.593438,4.082441
800,2.107448,3.197722
810,1.486481,3.373517
820,1.618699,2.547690
830,1.879314,2.623508
840,1.436667,3.023317
850,1.425066,2.490011
860,1.450701,2.353749
870,1.179239,2.739312
880,1.347923,1.963343
890,1.157547,2.171972
900,1.047507,2.322265
910,1.184043,2.222682
920,0.935380,0.860069
930,1.218035,0.685522
940,1.278321,0.599415
950,1.428347,0.517252
960,1.362698,0.647915
970,1.689403,0.626341
980,1.534002,0.681712
990,1.801795,0.620654
1000,2.118720,0.688154
1010,1.879704,0.898291
1020,1.580871,4.101134
1030,1.323560,2.643410
1040,1.338776,2.348031
1050,1.313288,2.076205
1060,1.191726,1.908814
1070,1.204053,1.388943
1080,1.129313,1.132347
1090,1.092115,1.146656
1100,1.087761,1.097430
1110,1.140740,0.810822
1120,1.148557,0.788993
1130,1.132640,0.800348
1140,1.189943,0.791168
1150,1.092545,0.796126
1160,1.025030,1.019847
1170,1.085475,1.328428
1180,1.143726,1.138983
1190,1.161853,1.089809
1200,1.150199,1.084369
1210,1.131490,1.070856
1220,1.140293,0.749536
1230,1.134246,0.688925
1240,1.163693,0.647154
1250,1.153065,0.711295
1260,1.201710,0.728262
1270,1.144820,0.763614
1280,1.180625,0.677864
1290,1.221028,0.666719
1300,1.159449,0.684694
1310,1.174277,0.713380
1320,1.148391,0.673698
1330,1.112778,1.372581
1340,1.131575,1.053864
1350,1.183441,1.122186
1360,1.091062,1.018302
1370,1.108844,0.667390
1380,1.147410,0.730503
1390,1.182945,0.696961
1400,1.117981,0.716055
1410,1.137308,0.731390
1420,1.128221,0.654631
1430,1.233538,0.623344
1440,1.213615,0.664203
1450,1.155942,0.705749
1460,1.216938,0.682001
1470,1.141099,0.723714
1480,1.172227,0.630769
1490,1.220949,0.644579
1500,1.280449,0.547217
1510,1.205799,0.628665
1520,1.222305,0.673356
1530,1.174299,0.608676
1540,1.236641,0.585342
1550,1.188695,0.504984
1560,1.145061,0.608683
1570,1.196823,0.532295
1580,1.214486,0.484324
1590,1.198530,0.627266
1600,1.082253,0.804787
1610,1.140036,0.674367
1620,1.157263,0.671096
1630,1.172460,0.619922
1640,1.215914,0.560867
1650,1.154682,0.638592
1660,1.147885,0.738269
1670,1.246003,0.600728
1680,1.149967,0.619402
1690,1.175759,0.608477
1700,1.257987,0.595731
1710,1.241250,0.651439
1720,1.193894,0.622634
1730,1.185164,0.866576
1740,1.248536,0.998284
1750,1.159569,0.658153
1760,1.249804,0.646659
1770,1.232069,0.564704
1780,1.241196,0.542862
1790,1.295109,0.402808
1800,1.253979,0.544008
1810,1.185350,0.583894
1820,1.209049,0.689022
1830,1.143336,0.624268
1840,1.176561,0.787290
1850,1.187426,0.716656
1860,1.107500,0.618432
1870,1.260725,0.550820
1880,1.264528,0.641643
1890,1.254044,0.558652
