Iteration,Discriminator Loss,Generator Loss
0,1.145381,0.692298
10,0.707767,0.743004
20,0.605832,0.822535
30,0.341356,1.401754
40,0.250495,2.121916
50,0.491863,1.917688
60,0.530525,2.000782
70,0.623244,1.486305
80,0.720526,1.579954
90,0.846289,1.433497
100,0.923985,1.527054
110,0.990967,1.275887
120,1.086097,0.969422
130,2.463193,0.007742
140,1.433020,1.551977
150,4.114669,0.611967
160,1.926449,1.683457
170,1.659867,0.169447
180,1.563930,0.405797
190,1.415547,0.716489
200,1.399293,0.792711
210,1.379858,0.716927
220,1.379657,0.609713
230,1.378232,0.724619
240,1.373134,0.724300
250,1.372769,0.615638
260,1.308271,0.915731
270,1.261311,0.749821
280,1.242221,1.012132
290,1.219838,0.542907
300,1.212443,0.574699
310,1.170588,0.484784
320,1.168057,0.456424
330,1.101941,0.676395
340,1.217068,0.461655
350,1.085549,0.581126
360,1.149307,1.238796
370,1.190953,1.138368
380,1.329723,0.729994
390,1.359020,0.649637
400,1.370541,0.695880
410,1.386889,0.705383
420,1.396820,0.762651
430,1.370125,0.777799
440,1.372333,0.680505
450,1.371945,0.712791
460,1.378050,0.743949
470,1.376247,0.701663
480,1.384766,0.635835
490,1.381650,0.692339
500,1.389744,0.539738
510,1.403850,0.648401
520,1.380998,0.800048
530,1.357480,0.509125
540,1.368980,0.688991
550,1.359077,0.685399
560,1.384706,0.734124
570,1.437008,0.617689
580,1.352786,0.697531
590,1.373351,0.804906
600,1.353815,0.560737
610,1.376607,0.665874
620,1.331965,0.733078
630,1.368313,0.600246
640,1.335936,0.611180
650,1.329447,0.630333
660,1.293760,0.669415
670,1.349280,0.594850
680,1.327364,0.582191
690,1.355134,0.552272
700,1.386463,0.531554
710,1.337458,0.601945
720,1.332200,0.592785
730,1.357132,0.552869
740,1.386260,0.522386
750,1.337694,0.599474
760,1.351042,0.566657
770,1.378571,0.593378
780,1.338421,0.701950
790,1.363399,0.583241
800,1.359073,0.664061
810,1.363197,0.670455
820,1.359609,0.634020
830,1.375101,0.691162
840,1.360042,0.689746
850,1.369193,0.718435
860,1.464100,0.908684
870,1.371174,0.674136
880,1.376342,0.676149
890,1.359484,0.679491
900,1.370038,0.686215
910,1.359981,0.698217
920,1.376839,0.713900
930,1.355193,0.607848
940,1.362643,0.684350
950,1.368452,0.714935
960,1.361437,0.582016
970,1.373571,0.679421
980,1.369184,0.674322
990,1.361927,0.673744
1000,1.344284,0.700054
1010,1.378013,1.046300
1020,1.340575,0.682538
1030,1.353768,0.671005
1040,1.448428,0.856252
1050,1.383109,0.660617
1060,1.344766,0.702954
1070,1.336863,0.703999
1080,1.344333,0.699752
1090,1.331692,0.699989
1100,1.488775,0.597633
1110,1.328398,0.723670
1120,1.337669,0.756338
1130,1.335067,0.727185
1140,1.330067,0.778696
1150,1.338837,0.760243
1160,1.345671,0.723788
1170,1.342009,0.662867
1180,1.494035,0.562448
1190,1.369753,0.721414
1200,1.348649,0.722028
1210,1.314601,0.704854
1220,1.326097,0.733769
1230,1.329487,0.652856
1240,1.290866,0.830976
1250,1.338291,0.786549
1260,1.330236,0.725676
1270,1.337391,0.912812
1280,1.333484,0.702581
1290,1.324642,0.765128
1300,1.326285,0.788989
1310,1.413621,0.567798
1320,1.291320,0.897042
1330,1.352297,1.049733
1340,1.368270,0.926539
1350,1.316069,0.893153
1360,1.321551,0.835801
1370,1.288784,0.914780
1380,1.308254,0.886745
1390,1.299506,0.927227
1400,1.323443,0.856086
1410,1.283800,0.885605
1420,1.321303,0.889195
1430,1.318677,0.897526
1440,1.319854,0.929708
1450,1.348240,0.874851
1460,1.310107,0.907317
1470,1.327124,0.930619
1480,1.348859,0.869834
1490,1.328551,0.894714
1500,1.354071,0.873896
1510,1.325698,0.890790
1520,1.336242,0.850666
1530,1.360811,0.897159
